"book_id","title","description","reviews","content","link","cb_data"
1,"Фаулер - Конкурентное программирование","Если типичную программу на стандартном Python подвергнуть слишком высокой нагрузке, то она будет работать с черепашьей скоростью. Для решения этой проблемы была разработана библиотека asyncio, которая позволяет разбить программу на более мелкие задачи и планировать их выполнение. В итоге получающиеся приложения работают молниеносно и допускают масштабирование.

В этой книге асинхронное, параллельное и конкурентное программирование рассматривается на конкретных примерах. Сложные для понимания вопросы иллюстрируются с помощью диаграмм, позволяющих наглядно представить, как работают задачи. Вы узнаете, как asyncio преодолевает ограничения Python и способствует ускорению медленных веб-серверов и микросервисов. Вы даже научитесь сочетать asyncio с традиционной многопроцессной обработкой, получив в награду резкий скачок производительности.

Для программистов на Python среднего уровня. Опыт работы с конкурентностью не требуется.","Andrey Ved
без практики теория вообще смысла не имеет. 
такой пример, я как бы в теме про асинхрон и тут решил почитать книжку фаулера, но вижу примеры и ловлю ощущение что они могут удивить - начинаю их проверять - и вот поведение у них реальное несколько не то что я ожидал. мораль - за вчера за почти весь день всего 25 страниц от книжки прошёл. 
как тут без практики?","1. Первое знакомство с asyncio.
2. Основы asyncio.
3. Первое приложение asynio.
4. Конкурентные веб-запросы.
5. Неблокирующие драйверы баз данных.
6. Счетные задачи.
7. Решение проблем блокирования с помощью потоков.
8. Потоки данных.
9. Веб-приложения.
10. Микросервисы.
11. Синхронизация.
12. Асинхронные очереди.
13. Управление подпроцессами.
14. Продвинутое использование asyncio.","https://t.me/JuliaLibrary/2","async_cat"
2,"Лутц - Изучаем Python 1","Из-за сложности изложения книга плохо подходит новичкам, но она должна быть в
библиотеке любого Python-разработчика, который хочет стать профессионалом.

В книге глубоко раскрывается большая часть возможностей Python и приводятся
реальные примеры применения языка. Однако оригинал был написан в 2013 году и
некоторые современные возможности Python не рассматриваются.

Во-первых, оригинальная книга, то есть пятое издание на английском языке, вышло
в 2013 году, и оно охватывает Python 3.3. К текущему моменту, то есть к 2020 году,
книга получила несколько апдейтов и должна затрагивать Python 3.7. Однако эти
апдейты условные. Основное же содержание книги не менялось уже 7 лет.

Так в предисловии автор много говорит, о том, что есть две ветки Python: вторая
и третья, и вторая доминирует. Но это уже не так, Python 3 прочно занял место в
продакшене, а Python 2 стремительно уходит в прошлое. Практически все ключевые
библиотеки и фреймворки поддерживают Python 3. Поэтому, конечно, неплохо знать об
отличиях второй и третьей ветки, но в обучении я бы делал упор именно на Python 3.

Во-вторых, Марк Лутц очень подробно описывает, что из себя представляет его книга
и как ей пользоваться. В частности — данная книга не является справочником, а это
скорее учебное пособие. А еще эта книга описывает возможности Python, и не затрагивает
какие-то сторонние библиотеки.","Andrey Ved
книжка лутца по сути ориентирована на мидлов и выше с других языков,
предполагается что человек уже знает за основы программирования (например там не объясняется суть ооп и для чего его придумали и как его кушать) Лутц - это именно описание реализации в конкретном языке программирования. Довольно дотошное и разностороннее описание. Но без понимания основ - это пользы не приносит

Andrey Ved
перед лутцем хорошо бы кучку всего другого уже прочитать-посмотреть.
например ханта - ""программист прогматик"" уже прочитать (и уже будет другой взгляд на ооп)

Andrey Ved
мне кажется что лутца читать в лучшем случае через год знакомства с
питонам - там точно не для начинающих книжка

Andrey Ved
если ты как минимум мидл, пробеги книжку Шапошниковой, а потом
пролистай Свейгарта про автоматизацию рутинных задач, а если захочется глубже
то Бизли книгу рецептов, а если совсем впасть в задротство то ещё двухтомник Лутца.
","1. Python в вопросах и ответах.
2. Как Python выполняет программы.
3. Как пользователь выполняет программы.
4. Введение в типы объектов Python.
5. Числовые типы.
6. Кракто о динамической типизации.
7. Фундаментальные основы строк.
8. Списки и словари.
9. Кортежи, файлы и все остальное.
10. Введение в операторы Python.
11. Операторы присваивания, выражений и вывода.
12. Проверки if и правила синтаксиса.
13. Циклы while и for.
14. Итерации и включения.
15. Документация.
16. Основы функций.
17. Области видимости.
18. Аргументы.
19. Расширенные возможности функций.
20. Включения и генераторы.
21. Оценочные испытания.
22. Модули: общая картина.
23. Основы написания модулей.
24. Пакеты модулей.
25. Расширенные возможности модулей.","https://t.me/JuliaLibrary/21","pybook_cat"
3,"Брэдшоу - MongoDB Полное руководство","В этой книге детально рассматривается обновленная версия MongoDB 4.2 - мощной системы управления базами данных. Вы узнаете о том, как эта безопасная, высокопроизводительная система обеспечивает гибкие модели данных, высокую их доступность и горизонтальную масштабируемость. Авторы представляют руководство для разработчиков баз данных, расширенные настройки для системных администраторов и сценарии использования MongoDB в различных проектах.
Прочитав руководство, вы научитесь:
- работать с MongoDB, выполнять операции записи, находить документы и создавать сложные запросы;
- индексировать коллекции, агрегировать данные и использовать транзакции для своего приложения;
- настраивать набор локальных реплик и оценивать взаимодействие репликации с вашим приложением;
- настраивать компоненты кластера и выбирать ключ шардинга для различных приложений;
- исследовать аспекты администрирования приложений, настраивать аутентификацию и авторизацию;
- использовать статистику при мониторинге, резервном копировании и восстановлении развертываний, а также системные настройки при развертывании MongoDB.","Деды явно знают больше, ждем от них ревью","1. Введение.
2. Начало работы.
3. Создание, обновление и удаление документов.
4. Выполнение запросов.
5. Индексы.
6. Специальные типы индексов и коллекций.
7. Знакомство с фреймворком агрегации.
8. Транзакции.
9. Разработка приложений.
10. Настройка набора реплик.
11. Компоненты набора реплик.
12. Подключение к набору реплик из своего приложения.
13. Администрирование.
14. Знакомство с шардингом.
15. Конфигурирования шардинга.
16. Выбор ключа шардинга.
17. Администрирование шардинга.
18. Смотрим, что делает ваше приложение.
19. Обеспечение безопасности в MongoDB.
20. Долговечность.
21. Настройка MongoDB в рабочем окружении.
22. Мониторинг MongoDB.
23. Создание резервных копий.
24. Развертывание MongoDB.","https://t.me/JuliaLibrary/7","nosql_cat"
4,"Свейгарт - Автоматизация рутинных задач","В полностью переработанном втором издании книги вы узнаете, как использовать Python для написания программ, способных за минуту сделать то, на что раньше уходили часы ручного труда, причем никакого опыта программирования не потребуется! Вы освоите основы Python и исследуете стандартную библиотеку модулей, позволяющих решать самые разнообразные задачи, такие как сбор данных с веб-сайтов, чтение документов в формате PDF и Word и автоматизация щелчков мыши.
Во второе издание книги включена новая глава, посвященная проверке вводимых данных. Также рассмотрены вопросы автоматизации работы с приложениями Gmail и Google Таблицы и даны советы по автоматическому обновлению CSV-файлов. Вы узнаете, как писать программы, которые легко выполняют следующие задачи автоматизации:
поиск текста в файле или в нескольких файлах;
создание, обновление, перемещение и пе- реименование файлов и папок;
поиск в Интернете и загрузка веб-контента;
обработка и шифрование PDF-документов;
рассылка электронной почты и текстовых уведомлений;
заполнение веб-форм.
Пошаговые инструкции помогут лучше понять, как работает та или иная программа, а обновленные учебные проекты в конце каждой главы дадут возможность применить полученные навыки для автоматизации аналогичных задач.
Не тратьте время на выполнение рутинной работы. Даже не имея опыта программиро- вания, благодаря данной книге вы вполне сможете заставить компьютер сделать все необходимое!
2-е издание.","Eugene S.
Вот поэтому и начни со Свейгарта, т.к. он рассчитан не на то, чтобы проф. программированию обучить, а простым людям дать возможность использовать программирование в их обычных делах.
Поэтому там не будет сложных математических и олимпиадных задач, а все сугубо утилитарное. Но при этом ты освоишь основы языка вполне себе в пределах практически первых двух частей Поколения. Потом уже можно будет к нему вернуться и прорешать задачки при желании.
Ну или попробовать их параллельно со Свейгартом проходить.

Andrey Ved
Практика это конечно важней всего - но зачем начинать с джанго? Почему не с простых утилит и той же книжки Свейгарта?

(вспомним адептов самописного букинга и им да не уподобимся)

Eugene S.
если нужно по-быстрому, не сильно влезая в подробности,  просто чтобы начать кодить, причем полезное в хозяйстве, то лучше Свейгарта взять, Автоматизацию рутинных задач.
И в Питон введение, и какие-то полезные штуки сразу освоишь.","1. Основные понятия языка Python.
2. Поток управления.
3. Функции.
4. Списки.
5. Словари и структурирование данных.
6. Манипулирование строками.
7. Поиск по шаблоку с помощью регулярных выражений.
8. Чтение и запись файлов.
9. Управление файлами.
10. Отладка.
11. Автоматический сбор данных в Интернете.
12. Работа с электронными таблицами Excel.
13. Работа с документами в форматах PDF и Word.
14. Работа с CSV-файламаи и данными в формате JSON.
15. Обработка значений даты и времени, планировщие заданий и запуск программ.
16. Отправка сообщений электронной почты и текстовых сообщений.
17. Работа с изображениями.
18. Управление клавиатурой и мышью с помощью средств автоматизации графического интерфейса пользователя.","https://t.me/JuliaLibrary/8","pybook_cat"
5,"Шапошникова - Введение в программирование","все и так понятно, хорошая книжка для новичков","Отзывов не требует. Та книга, с которой следует начать изучать основы языка.","1. Краткая истори языков программирования.
2. Знакомство с Python.
3. Типы данных. Переменные.
4. Ввод и вывод данных.
5. Логические выражения и операторы.
6. Ветвление. Условный оператор.
7. Ошибки и исключения. Обработка исключения.
8. Множественное ветвление: if-elif-else.
9. Циклы в программировании. Цикл while.
10. Функции в программировании.
11. Локальные и глобальные переменные.
12. Возврат значение из функций. Оператор return.
13. Параметры и аргументы функций.
14. Встроенные функции.
15. Модули.
16. Генератор псевдослучайных чисел - random.
17. Списки.
18. Цикл for.
19. Функция enumerate.
20. Строки.
21. Кортежи.
22. Словари.
23. Файлы.
24. Генераторы списков.
25. Матрицы. 
26. Множества. 
27. Особенности работы операторов and и or.
28. Lambda-выражения.","https://t.me/JuliaLibrary/9","kids_cat"
6,"Чакон - Git для профи","Эта книга представляет собой обновленное руководство по использованию Git в современных условиях. С тех пор как проект Git - распределенная система управления версиями - был создан Линусом Торвальдсом, прошло много лет, и система Git превратилась в доминирующую систему контроля версий, как для коммерческих целей, так и для проектов с открытым исходным кодом. Эффективный и хорошо реализованный контроль версий необходим для любого успешного веб-проекта. Постепенно эту систему приняли на вооружение практически все сообщества разработчиков ПО с открытым исходным кодом. Появление огромного числа графических интерфейсов для всех платформ и поддержка IDE позволили внедрить Git в операционные системы семейства Windows. Второе издание книги было обновлено для Git-версии 2.0 и уделяет большое внимание GitHub.","Одна из лучших книг по Git. Обязательна к употреблению.","1. Начало работы.
2. Основы Git.
3. Ветвления в Git.
4. Git на сервере.
5. Распределенная система Git.
6. GitHub.
7. Git-инструментарий.
8. Настройка системы Git.
9. Git и другие системы контроля версий.
10. Git изнутри.","https://t.me/JuliaLibrary/10","git_cat"
7,"Шереметьев - Путь в программисты","Узнайте всю внутреннюю кухню обучения программированию от человека с 23-летним опытом в профессии программиста, преподавателя и руководителя отдела разработки.","Деды не давали на нее отзыв. Возможно стоит узнать в чате, если это необходимо.","1. Зачем становиться программистом?
2. Можете ли вы стать программистом?
3. Есть ли особые требования к изучению программирования?
4. Большой барьер программиста.
5. Нужно ли официльное образование?
6. Организация занятий.
7. Секрет быстрого продвижения.
8. Сколько времени это займет?
9. Увлечение технологиями.
10. Что изучать в первую очередь?
11. Путь в профессию программиста.
12. Направления дальнейшего развития.
","https://t.me/JuliaLibrary/11","start_cat"
8,"Персиваль - Паттерны разработки","Популярность Python продолжает расти, а значит, проекты, созданные на этом языке программирования, становятся все масштабнее и сложнее. Многие разработчики проявляют интерес к высокоуровневым паттернам проектирования, таким как чистая и событийно-управляемая архитектура и паттерны предметно-ориентированного проектирования (DDD). Но их адаптация под Python не всегда очевидна.

Гарри Персиваль и Боб Грегори познакомят вас с проверенными паттернами, чтобы каждый питонист мог управлять сложностью приложений и получать максимальную отдачу от тестов. Теория подкреплена примерами на чистом Python, лишенном синтаксической избыточности Java и C#.

В этой книге:
- ""Инверсия зависимостей"" и ее связи с портами и адаптерами (гексагональная/чистая архитектура).
- Различия между паттернами ""Сущность"", ""Объект-значение"" и ""Агрегат"" в рамках DDD.
- Паттерны ""Репозиторий"" и UoW, обеспечивающие постоянство хранения данных.
- Паттерны ""Событие"", ""Команда"" и ""Шина сообщений"".
- Разделение ответственности на команды и запросы (CQRS).
- Событийно-управляемая архитектура и реактивные расширения.","Деды явно знают больше, ждем от них ревью","1. Моделирование предметной области.
2. Паттерн ""Репозиторий"".
3. О связанности и абстракциях.
4. Первый вариант использование: API фреймворка Flask и сервисный слой.
5. TDD на повышенной и пониженной передачах.
6. Паттерн UoW.
7. Агрегаты и границы  согласованности.
8. События и шина сообщений.
9. Катимся в город на шине сообщений.
10. Команды и обработчик команд.
11. Событийно-управляемая архитектура: использование событий для интеграции микросервисов.
12. Разделение обязанностей команд и запросов.
13. Внедрение зависимостей (и начальная загрузка).","https://t.me/JuliaLibrary/12","pybook_cat"
9,"Персиваль - Разработка на основе тестирования","Проводя вас по процессу разработки реального веб-приложения от начала до конца, второе издание книги демонстрирует преимущества методологии разработки на основе тестирования (TDD) с использованием языка Python. Вы научитесь писать и выполнять тесты до написания любого фрагмента вашего приложения и затем разрабатывать минимальный объем программного кода, необходимого для прохождения этих тестов. В результате вы получите чистый программный код, который работает!
Также вы узнаете основы Django, Selenium, Git, jQuery и Mock. Если вы готовы поднять свои навыки программирования на Python на следующий уровень, то эта книга - обновленная до Python 3.6 - продемонстрирует вам, как методология TDD способствует созданию простой структуры кода и вселяет в вас уверенность в своих силах.","Eugene S.
Так ты попробуй в TDD, а не после написания проекта тесты писать - решил что-то добавить, забабахай сначала тесты для этого, а походу дела сразу тестируй написанное. Тут слон не целиком, а по кускам съеден будет. Проще, чем потом все скопом покрывать.
","1. Настройка Django с использованием функционального теста.
2. Расширение фунционального теста при помощи модуля unittest.
3. Тестирование простой домашней страницы при помощи модульных тестов.
4. И что же делать со всеми этими тестами (и рефакторизацией)?
5. Сохранение вводимых пользователем данных: тестирование базы данных.
6. Усовершенствование функциональных тестов: обеспечение изоляции и удаление методов sleep.
7. Работа в инрементном режиме.
8. Придание привлекательно вида: макет, стилевое оформление сайта и что тут тестировать.
9. Тестирование развертывания с использованием промежуточно сайта.
10. Переход к развертыванию, готовому к эксплуатации.
11. Автоматизация развертывания с помощью Fabric.
12. Разделение тестов на многочисленные файлы и обобщенный помощник ожидания.
13. Валидация на уровне базы данных.
14. Простая форма.
15. Более развитые формы.
16. Пробуем окунуться, очень робко, в JavaScript.
17. Основы TDD и Django.
18. Использование имитаций для тестирования внешних зависимостей или сокращения дублирования.
19. Тестовые фикстуры и декоратор для явных ожиданий.
20. Тестовые фикстуры и декоратор для явных ожиданий.
21. Отладка на стороне сервера.
22. Завершение приложения ""Мои списки"": TDD с подходом ""Снаружи внутрь"".
23. Изоляция тестов и ""слушание своих тестов"".
24. Непрерывная интеграция.
25. Социально значимый кусок, шаблок проектирования ""Страница"" и упраженение для читателя. 
26. Быстрые тесты, медленные тесты и горячий поля.","https://t.me/JuliaLibrary/13","django_cat"
10,"Моргунов - PostgreSQL","Учебно-практическое пособие охватывает первую, базовую, часть учебного курса по языку SQL, созданного при участии российской компании Postgres Professional. Учебный материал излагается в расчете на использование системы управления базами данных PostgreSQL. Рассмотрено создание рабочей среды, описан язык определения данных и основные операции выборки и изменения данных. Показаны примеры использования транзакций, уделено внимание методам оптимизации запросов. Материал сопровождается многочисленными практическими примерами. Пособие может использоваться как для самостоятельного обучения, так и проведения занятий под руководством преподавателя.","Отзывов пока что нет, но это можно исправить, задав вопрос в чате.","1. Введение в базы данных и SQL.
2. Создание рабочей среды.
3. Основные операции с таблицами.
4. Типы данных СУБД PosgreSQL.
5. Основы языка определения данных.
6. Запросы.
7. Изменение данных.
8. Индексы.
9. Транзакции.
10. Повышение производительности.","https://t.me/JuliaLibrary/14","sql_cat"
